INFO   | jvm 1    | 2020/03/09 15:03:58 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/09 15:03:58 | WrapperSimpleApp Error: Unable to locate the class uk.co.planetbeyond.service.main.Main : java.lang.ClassNotFoundException: uk.co.planetbeyond.service.main.Main
INFO   | jvm 1    | 2020/03/09 15:03:58 | 
INFO   | jvm 1    | 2020/03/09 15:03:58 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2020/03/09 15:03:58 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2020/03/09 15:03:58 | 
INFO   | jvm 1    | 2020/03/09 15:03:58 | Where:
INFO   | jvm 1    | 2020/03/09 15:03:58 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2020/03/09 15:03:58 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2020/03/09 15:03:58 |                   application.
STATUS | wrapper  | 2020/03/09 15:04:00 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/09 15:04:46 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/09 15:04:46 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/09 15:04:46 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/09 15:04:46 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/09 15:04:46 | 
STATUS | wrapper  | 2020/03/09 15:04:46 | Launching a JVM...
INFO   | jvm 1    | 2020/03/09 15:04:46 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/09 15:04:46 | 15:04:46,831 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.groovy]
INFO   | jvm 1    | 2020/03/09 15:04:46 | 15:04:46,831 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.xml]
INFO   | jvm 1    | 2020/03/09 15:04:46 | 15:04:46,831 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [logback.xml] at [file:/home/samiullah/workspace/socialive_ivr_engine/jar/logback.xml]
INFO   | jvm 1    | 2020/03/09 15:04:46 | 15:04:46,952 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.rolling.RollingFileAppender]
INFO   | jvm 1    | 2020/03/09 15:04:46 | 15:04:46,958 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [FILE]
